number,name,last_update,bike_stands,available_bike_stands,occupancy_rate
24,"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.",2024-04-21 21:43:13,20,2,90.0
10,TELEMACH - GLAVNI TRG - STARI PERON,2024-04-21 21:51:14,20,1,95.0
9,NKBM - TRG LEONA ŠTUKLJA,2024-04-21 21:51:08,20,16,20.0
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,2024-04-21 21:50:49,20,20,0.0
20,EUROPARK - POBREŠKA C.,2024-04-21 21:44:33,21,7,66.66666666666666
4,STROSSMAYERJEVA UL. - TRŽNICA,2024-04-21 21:52:24,20,2,90.0
1,GOSPOSVETSKA C. - TURNERJEVA UL.,2024-04-21 21:52:08,22,10,54.54545454545454
16,KOROŠKA C. - KOROŠKI VETER,2024-04-21 21:51:07,20,2,90.0
3,GOSPOSVETSKA C. - III. GIMNAZIJA,2024-04-21 21:50:31,20,20,0.0
21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,2024-04-21 21:52:12,20,19,5.0
6,POŠTA - SLOMŠKOV TRG,2024-04-21 21:51:06,20,11,45.0
22,DVORANA TABOR,2024-04-21 21:50:56,20,16,20.0
14,ULICA MOŠE PIJADA - UKC,2024-04-21 21:50:55,20,19,5.0
19,LIDL - TITOVA C.,2024-04-21 21:51:41,20,20,0.0
25,SPAR - TRŽNICA TABOR,2024-04-21 21:45:36,20,12,40.0
17,NA POLJANAH - HEROJA ŠERCERJA,2024-04-21 21:50:52,20,9,55.00000000000001
28,UM FGPA - LENT - SODNI STOLP,2024-04-21 21:42:57,20,4,80.0
8,RAZLAGOVA UL. - OBČINA,2024-04-21 21:50:58,20,1,95.0
7,PARTIZANSKA C. - TIC,2024-04-21 21:47:51,20,15,25.0
2,GOSPOSVETSKA C. - VRBANSKA C.,2024-04-21 21:50:41,22,9,59.09090909090909
5,MLADINSKA UL. - TRUBARJEVA UL.,2024-04-21 21:51:31,16,0,100.0
12,MLINSKA UL . - AVTOBUSNA POSTAJA,2024-04-21 21:50:57,20,16,20.0
29,PETROL – LENT – VODNI STOLP,2024-04-21 21:51:20,20,5,75.0
15,LJUBLJANSKA UL. - II. GIMNAZIJA,2024-04-21 21:50:49,20,13,35.0
26,NICEHASH - C. PROLETARSKIH BRIGAD,2024-04-21 21:43:56,20,9,55.00000000000001
23,LJUBLJANSKA UL. - FOCHEVA,2024-04-21 21:46:10,20,17,15.0
27,JHMB – DVOETAŽNI MOST,2024-04-21 21:52:52,20,8,60.0
18,LIDL - KOROŠKA C.,2024-04-21 21:52:30,20,11,45.0
11,PARTIZANSKA C. - CANKARJEVA UL.,2024-04-21 21:51:03,20,20,0.0
